Time,Temp,Z,cumZ,Soot
2673.8,303.9060930434783,5644.96,19885583.055000003,98.82170719
2719.9,305.4887695652174,5565.96,20143994.761000004,98.78843666
2766.0,307.06379999999996,5524.0,20399618.339,98.7553862
2812.1,308.64820782608695,5473.46,20653109.792,98.72283591
2858.2,310.21316956521736,5482.839999999999,20905652.507,98.69064572
2904.3,311.71928565217394,5484.799999999999,21158456.609,98.65871562
2950.4,313.2683043478261,5359.5199999999995,21408418.185000002,98.62730568
2996.5,314.85163804347826,5260.3,21653205.036000002,98.59653594
3042.6,316.4341539130435,5194.64,21894191.403,98.56614633
3088.7,318.0712245652174,5198.860000000001,22133761.578,98.53621686
3134.8,319.6088052173913,5168.24,22372723.233000003,98.50680755
3180.9,321.170125,5057.86,22608434.838000003,98.47793842
3227.0,322.7929108695652,4974.6,22839683.041,98.44980952
3273.1,324.4193817391305,4865.8,23066504.261,98.42228081
3319.2,325.96310608695654,4837.76,23290171.319,98.3950522
3365.3,327.5627695652174,4779.5199999999995,23511849.623,98.36812367
3411.4,329.10140130434786,4729.5599999999995,23731033.917,98.34205543
3457.5,330.6853206521739,4680.0,23947924.275,98.31622725
3503.6,332.26179565217393,4639.92,24162748.430999998,98.290139
3549.7,333.8778754347826,4379.219999999999,24370639.608,98.26447088
3595.8,335.44143956521737,4339.079999999999,24571596.423,98.23910285
3641.9,337.03034391304345,4433.44,24773803.009,98.2139749
3688.0,338.5689869565217,4383.6,24977035.781,98.18908703
3734.1,340.1045263043478,4342.0,25178160.860999998,98.16451925
3780.2,341.7156265217391,4280.08,25376899.804999996,98.14023157
3826.3,343.2892667391304,4269.78,25573974.077999998,98.11582385
3872.4,344.9138547826087,4270.799999999999,25770834.446999997,98.09121606
3918.5,346.52883260869567,4237.0,25966939.236999996,98.06642822
3964.6,348.09998086956523,4113.56,26159419.644999996,98.04150033
4010.7,349.66237760869564,4022.6000000000004,26346958.132999994,98.01647241
4056.8,351.1718452173913,4030.56,26532583.470999997,97.99134446
4102.9,352.77675695652175,4025.4799999999996,26718275.192999996,97.96611648
4149.0,354.3970130434783,4019.0,26903700.457,97.94074845
4195.1,355.97387217391304,3987.96,27088260.885,97.91518036
4241.2,357.53784,3920.96,27270561.491,97.88943222
4287.3,359.1439330434782,3908.92,27451040.225,97.86340398
4333.4,360.7271013043478,3717.040000000002,27626818.603,97.83689559
4379.5,362.2797076086957,3659.3,27796843.240000002,97.80980702
4425.6,363.86127304347826,3614.4800000000005,27964503.869000003,97.78225831
4471.7,365.4869191304348,3561.2400000000007,28129904.215,97.75426945
4517.8,367.04444608695655,3500.2,28292670.407,97.72550035
4563.9,368.59667152173915,3439.7600000000007,28452636.485,97.69577094
4610.0,370.18137391304344,3424.0,28610846.153,97.66520127
4656.1,371.74907152173915,3423.8999999999996,28768690.248000003,97.6340114
4702.2,373.3320691304348,3347.1600000000003,28924763.181,97.60222134
4748.3,374.9114519565217,3461.2400000000007,29081696.801000003,97.56961103
4794.4,376.4819573913043,3461.7599999999998,29241271.951,97.53630049
4840.5,378.0855195652174,3490.0,29401510.019,97.5022097
4886.6,379.6586343478261,3521.840000000001,29563132.931,97.4671186
4932.7,381.23259391304344,3468.92,29724269.949,97.43098716
4978.8,382.84748521739135,3470.24,29884217.587,97.39389543
5024.9,384.40164304347826,2908.0800000000004,30031237.862999998,97.35570335
5071.0,385.94153913043476,2899.4,30165100.277,97.31653095
5117.1,387.5178089130435,2807.42,30296642.478,97.27647828
5163.2,389.1161834782609,2837.279999999998,30426752.812999997,97.23506518
5209.3,390.74875304347825,3019.940000000001,30561761.733999997,97.19219161
5255.4,392.37171347826086,3013.08,30700822.844999995,97.14783758
5301.5,393.9742,3279.1,30845857.593999997,97.10206309
5347.6,395.5422713043479,3229.2799999999993,30995875.753,97.05486816
5393.7,397.1577810869565,3190.0,31143840.156999998,97.00609273
5439.8,398.7467569565218,3158.24,31290167.088999998,96.95559675
5485.9,400.2527630434783,2978.2000000000007,31431612.030999996,96.90316016
5532.0,401.8263304347826,3008.4,31569603.161,96.84882297
5578.1,403.3871091304348,2984.7599999999998,31707745.498999998,96.79226507
5624.2,404.9795456521739,2973.04,31845072.788999997,96.73332642
