Time,Temp,I,dIdt,cumI,CO2,rate,extent
3964.6,472.1064,0.00938542,-2.301600000000003e-06,37.22294369999999,124.0,124.0,9.193709302834344
4010.7,471.9541,0.009280320000000002,-2.309299999999984e-06,37.65319399999998,121.96,121.96,9.726468260380411
4056.8,471.7676,0.00917232,-2.389999999999972e-06,38.078508599999985,119.93,119.93,10.250411439111993
4102.9,471.6504,0.009065040000000002,-2.215500000000014e-06,38.49878899999999,118.36,118.36,10.766556877368828
4149.0,471.5459,0.0089652,-2.1769999999999776e-06,38.91434599999999,116.65,116.65,11.275597707637582
4195.1,471.4341,0.008861289999999999,-2.134499999999982e-06,39.32522865,114.99,114.99,11.777338986406374
4241.2,471.3848,0.008762240000000001,-2.1864000000000054e-06,39.731564199999994,113.53,113.53,12.272322223430386
4287.3,471.2817,0.00866521,-2.0818999999999694e-06,40.133249649999996,112.16,112.16,12.761175570025657
4333.4,471.2275,0.008568520000000001,-2.073200000000062e-06,40.530495999999985,110.58,110.58,13.24363910150968
4379.5,471.1055,0.00847215,-2.0804999999999655e-06,40.92333874999999,109.37,109.37,13.72005938412579
4425.6,471.0601,0.00837544,-2.1979999999999796e-06,41.3116862,108.32,108.32,14.191584418554983
4471.7,470.9937,0.00827777,-2.0632000000000203e-06,41.69544155,107.0,107.0,14.657975940504967
4517.8,470.8701,0.00818028,-2.0332000000000566e-06,42.074808600000004,105.58,105.58,15.11843251553808
4563.9,470.8286,0.008092980000000001,-1.804399999999973e-06,42.4498399,104.45,104.45,15.573365691068245
4610.0,470.7415,0.008007,-1.899999999999992e-06,42.82103000000001,103.44,103.44,16.023663543093996
4656.1,470.6851,0.007918409999999999,-1.956100000000059e-06,43.18811005000001,102.11,102.11,16.468892863811163
4702.2,470.6284,0.007829820000000001,-1.8634000000000079e-06,43.5510889,100.62,100.62,16.908013954489785
4748.3,470.5737,0.00774872,-1.6651000000000493e-06,43.910113200000005,99.82,99.82,17.342174815810875
4794.4,470.478,0.00767252,-1.7388000000000084e-06,44.2655696,98.91,98.91,17.77263175040645
4840.5,470.3962,0.00758905,-1.7590000000000424e-06,44.61736525,97.07,97.07,18.19713207769495
4886.6,470.3389,0.007507799999999999,-1.7864000000000158e-06,44.9653526,97.03,97.03,18.617560251624422
4932.7,470.271,0.007427950000000001,-1.6646000000000107e-06,45.30958115,96.23,96.23,19.036168952776446
4978.8,470.2468,0.00735104,-1.6799999999999975e-06,45.650271,95.04,95.04,19.450467236277166
5024.9,470.2107,0.007271140000000001,-1.6452999999999896e-06,45.987342899999994,93.92,93.92,19.859761969639926
5071.0,470.1763,0.0071985,-1.6720000000000102e-06,46.3209475,91.39,91.39,20.26115066057692
5117.1,470.1125,0.007119509999999999,-1.7370999999999624e-06,46.65100685000001,85.81,85.81,20.64497277505555
5163.2,470.0598,0.00704088,-1.6375999999999956e-06,46.9773866,91.15,91.15,21.02827504016919
5209.3,470.0139,0.0069710499999999995,-1.5099999999999692e-06,47.30033075000001,90.73,90.73,21.422234217264975
5255.4,469.9392,0.006900440000000001,-1.4738000000000453e-06,47.620030400000005,89.65,89.65,21.812944335829616
5301.5,469.8926,0.00683305,-1.4710000000000525e-06,47.93660275000001,89.16,89.16,22.200253773131674
5347.6,469.876,0.0067921200000000004,1.2408000000000638e-06,48.25022640000001,88.51,88.51,22.58509392595006
5393.7,469.8906,0.006967939999999999,6.224499999999981e-06,48.56668120000001,87.86,87.86,22.967118228041453
5439.8,469.8662,0.007319560000000002,7.176799999999957e-06,48.89591300000002,90.6,90.6,23.35366955168624
5485.9,470.7803,0.007615989999999998,5.998399999999962e-06,49.24045695000002,70.98,70.98,23.703658136660597
5532.0,477.8311,0.0078838,6.14199999999997e-06,49.597736000000026,37.87,37.87,23.939431484070298
5578.1,487.0576,0.008182890000000003,6.2865999999999645e-06,49.968088150000035,38.41,38.41,24.104656940573854
5624.2,495.4121,0.008457099999999999,5.751599999999981e-06,50.351843300000034,43.75,43.75,24.28261870651947
5670.3,503.2375,0.008728920000000001,5.9363999999999395e-06,50.74780770000004,49.28,49.28,24.48412531662075
5716.4,511.5013,0.008990479999999999,5.645599999999975e-06,51.156463000000024,54.53,54.53,24.708981827365818
5762.5,519.6901,0.00925325,5.207500000000082e-06,51.57708125000002,58.44,58.44,24.95367925554105
5808.6,527.5659,0.009484300000000003,5.037199999999985e-06,52.008884700000024,61.41,61.41,25.21327903217911
5854.7,535.7731,0.009724789999999999,5.2600000000000276e-06,52.45154955000002,63.42,63.42,25.483665683140543
