t,Resistance,Soot left-mg
487.0,1656.4528352,0.5002222069793927
488.0,1656.1782698,0.5002225584978308
489.0,1655.9037044,0.5002229100162691
490.0,1655.629139,0.5002232615347072
491.0,1654.8108708999998,0.5002236130531453
492.0,1653.9926028,0.5002239645715836
493.0,1653.1743347,0.5002243160900217
494.0,1652.3560665999998,0.50022466760846
495.0,1651.5377985,0.5002250191268981
496.0,1650.7195304,0.5002253706453362
497.0,1649.9012622999999,0.5002257221637745
498.0,1649.0829941999998,0.5002260736822126
499.0,1648.2647261,0.5002264252006509
500.0,1647.446458,0.500226776719089
501.0,1646.6362384,0.5002271282375271
502.0,1645.8260188,0.5002274797559654
503.0,1645.0157992,0.5002278312744035
504.0,1644.2055796,0.5002281827928416
505.0,1643.39536,0.5002285343112799
506.0,1642.5851404,0.500228885829718
507.0,1641.7749208,0.5002292373481563
508.0,1640.9647012,0.50022950685141
509.0,1640.1544816,0.5002297672418655
510.0,1639.344262,0.500230027632321
511.0,1639.0759569000002,0.5002302880227766
512.0,1638.8076518,0.5002305484132321
513.0,1638.5393467000001,0.5002308088036876
514.0,1638.2710416,0.5002310691941432
515.0,1638.0027365,0.5002313295845987
516.0,1637.7344314000002,0.5002315899750542
517.0,1637.4661263,0.5002318503655098
518.0,1637.1978212000001,0.5002321107559653
519.0,1636.9295161,0.5002323711464208
520.0,1636.661211,0.5002326315368764
521.0,1636.1272269,0.5002328919273319
522.0,1635.5932428,0.5002331523177874
523.0,1635.0592587,0.500233412708243
524.0,1634.5252746,0.5002336730986985
525.0,1633.9912905,0.500233933489154
526.0,1633.4573063999999,0.5002341938796095
527.0,1632.9233222999999,0.5002344542700651
528.0,1632.3893381999999,0.5002347146605206
529.0,1631.8553540999999,0.5002349750509761
530.0,1631.32137,0.5002352354414317
531.0,1631.0556824999999,0.5002354958318872
532.0,1630.7899949999999,0.5002357562223427
533.0,1630.5243074999998,0.5002360166127983
534.0,1630.2586199999998,0.5002362770032538
535.0,1629.9929324999998,0.5002365373937093
536.0,1629.727245,0.5002367977841649
537.0,1629.4615575,0.5002370581746204
538.0,1629.19587,0.5002373185650759
539.0,1628.9301825,0.5002375789555314
540.0,1628.664495,0.500237839345987
541.0,1628.3996715,0.5002380997364425
542.0,1628.134848,0.500238360126898
543.0,1627.8700245,0.5002386205173536
544.0,1627.605201,0.5002388809078091
545.0,1627.3403775000002,0.5002391412982646
546.0,1627.075554,0.5002394016887202
547.0,1626.8107305,0.5002396620791757
548.0,1626.5459070000002,0.5002399224696312
549.0,1626.2810835,0.5002401828600868
550.0,1626.01626,0.5002404432505423
551.0,1626.546771,0.5002407036409978
552.0,1627.077282,0.5002409640314534
553.0,1627.6077930000001,0.5002412244219089
554.0,1628.138304,0.5002413598232104
555.0,1628.668815,0.5002414639772234
556.0,1629.199326,0.5002415681312364
557.0,1629.7298369999999,0.5002416722852494
558.0,1630.260348,0.5002417764392624
559.0,1630.790859,0.5002418805932755
560.0,1631.32137,0.5002419847472884
561.0,1631.0556824999999,0.5002420889013015
562.0,1630.7899949999999,0.5002421930553145
563.0,1630.5243074999998,0.5002422972093274
564.0,1630.2586199999998,0.5002424013633405
565.0,1629.9929324999998,0.5002425055173535
566.0,1629.727245,0.5002426096713666
567.0,1629.4615575,0.5002427138253795
568.0,1629.19587,0.5002428179793926
569.0,1628.9301825,0.5002429221334056
570.0,1628.664495,0.5002430262874186
571.0,1628.1357078,0.5002431304414316
572.0,1627.6069206,0.5002432345954446
573.0,1627.0781334,0.5002433387494577
574.0,1626.5493462,0.5002434429034707
575.0,1626.020559,0.5002435470574836
576.0,1625.4917718000002,0.5002436512114967
577.0,1624.9629846,0.5002437553655097
578.0,1624.4341974000001,0.5002438595195228
579.0,1623.9054102,0.5002439636735357
580.0,1623.376623,0.5002440678275488
581.0,1623.113515,0.5002441719815618
582.0,1622.8504070000001,0.5002442761355748
583.0,1622.587299,0.5002443802895878
584.0,1622.3241910000002,0.5002444844436008
585.0,1622.061083,0.5002445885976139
586.0,1621.797975,0.5002446927516269
587.0,1621.534867,0.5002447969056398
588.0,1621.271759,0.5002449010596529
589.0,1621.008651,0.5002450052136659
590.0,1620.745543,0.500245109367679
591.0,1620.2218772,0.5002452135216919
592.0,1619.6982114,0.500245317675705
593.0,1619.1745455999999,0.500245421829718
594.0,1618.6508798,0.500245525983731
595.0,1618.127214,0.500245630137744
596.0,1617.6035482,0.500245734291757
597.0,1617.0798823999999,0.5002458384457701
598.0,1616.5562166,0.5002459425997831
599.0,1616.0325508,0.500246046753796
600.0,1615.508885,0.5002460536973969
601.0,1614.9885923,0.5002460189793926
602.0,1614.4682996,0.5002459842613882
603.0,1613.9480068999999,0.500245949543384
604.0,1613.4277141999999,0.5002459148253796
605.0,1612.9074215,0.5002458801073753
606.0,1612.3871288,0.5002458453893709
607.0,1611.8668361,0.5002458106713665
608.0,1611.3465434,0.5002457759533623
609.0,1610.8262507,0.5002457412353579
610.0,1610.305958,0.5002457065173536
611.0,1610.0470664,0.5002456717993492
612.0,1609.7881748,0.5002456370813448
613.0,1609.5292832,0.5002456023633406
614.0,1609.2703916,0.5002455676453362
615.0,1609.0115,0.5002455329273319
616.0,1608.7526083999999,0.5002454982093275
617.0,1608.4937168,0.5002454634913232
618.0,1608.2348252,0.5002454287733189
619.0,1607.9759336,0.5002453940553145
620.0,1607.717042,0.5002453593373102
621.0,1607.717042,0.5002453246193058
622.0,1607.717042,0.5002452899013015
623.0,1607.717042,0.5002452551832972
624.0,1607.717042,0.5002452204652929
625.0,1607.717042,0.5002451857472885
626.0,1607.717042,0.5002451510292841
627.0,1607.717042,0.5002451163112798
628.0,1607.717042,0.5002450815932755
629.0,1607.717042,0.5002450468752712
630.0,1607.717042,0.5002450121572668
