Time-DC,Temp-DC,Resistance,Soot left-mg
2627.7,296.7688,814.5408503300001,0.49427478854999995
2673.8,298.4073,800.0,0.49410853595
2719.9,299.993,793.6507937,0.4939421833
2766.0,301.5976,777.61627904,0.49377693100000003
2812.1,303.1935,763.3587786,0.49361417955
2858.2,304.7983,751.8796992,0.4934532286
2904.3,306.42,743.8916528199999,0.49329357809999996
2950.4,308.0002,735.079433188,0.49313652840000005
2996.5,309.5678,719.4244604,0.4929826797
3042.6,311.1953,707.921286614,0.49283073164999996
3088.7,312.7405,699.3006993,0.49268108429999996
3134.8,314.335,709.0543259560002,0.49253403775000004
3180.9,315.8478,704.2253521,0.4923896921
3227.0,317.375,691.091954,0.4922490476
3273.1,318.9628,680.2721088,0.49211140405000003
3319.2,320.5609,675.6756757,0.491975261
3365.3,322.1619,664.3267108169999,0.49184061835000004
3411.4,323.7025,661.641686968,0.49171027715
3457.5,325.3473,650.4116798499999,0.49158113625
3503.6,326.9142,627.515723264,0.491450695
3549.7,328.4986,617.2839506,0.49132235440000005
3595.8,330.1085,607.61271253,0.49119551424999996
3641.9,331.6083,598.8023952,0.4910698745
3688.0,333.2142,584.7953216,0.49094543515
3734.1,334.7655,580.0174754530001,0.49082259624999997
3780.2,336.3538,571.363636336,0.49070115785
3826.3,337.9782,561.7977528,0.49057911925
3872.4,339.5466,548.729958596,0.4904560803
3918.5,341.1784,540.5405405,0.4903321411
3964.6,342.7426,533.450904538,0.49020750165000004
4010.7,344.3294,526.3157895,0.49008236205000005
4056.8,345.9188,520.8333333,0.4899567223
4102.9,347.4381,514.6973301370001,0.4898305824
4149.0,349.0241,507.6142132,0.48970374225
4195.1,350.607,500.0,0.4895759018
4241.2,352.1838,494.75686488800005,0.4894471611
4287.3,353.7611,487.804878,0.4893170199
4333.4,355.2995,478.4688995,0.48918447795
4379.5,356.9321,474.046490645,0.4890490351
4425.6,358.4687,468.2550129399999,0.48891129155
4471.7,360.0134,462.962963,0.48877134725
4517.8,361.6073,458.7155963,0.48862750175
4563.9,363.2349,452.4886878,0.4884788547
4610.0,364.7716,444.4444444,0.48832600635
4656.1,366.3955,437.42817741499994,0.48817005700000005
4702.2,367.9099,429.1845494,0.4880111067
4748.3,369.4863,422.244868801,0.48784805515
4794.4,371.1424,417.64295675600005,0.48768150245
4840.5,372.6494,413.13811516,0.4875110485
4886.6,374.162,408.73201740199994,0.487335593
4932.7,375.808,402.788573684,0.4871549358
4978.8,377.3211,395.445134576,0.48696947715
5024.9,378.8831,389.88022861600007,0.48677851675
5071.0,380.4919,384.46802239000004,0.48658265475
5117.1,382.0431,378.7878788,0.48638239140000006
5163.2,383.5693,375.489284992,0.4861753259
5209.3,385.149,371.844310055,0.48596095804999995
5255.4,386.6674,366.3003663,0.4857391879
5301.5,388.2505,362.3188406,0.48551031545
5347.6,389.7997,359.7122302,0.4852743408
5393.7,391.3716,355.40496201,0.48503046365
5439.8,392.9908,350.90190266199994,0.48477798375
5485.9,394.5111,347.718253935,0.4845158008
5532.0,396.0969,344.8275862,0.48424411485
5578.1,397.6727,341.51900506899995,0.48396132534999997
5624.2,399.3663,337.360087338,0.4836666321
5670.3,400.848,333.3333333,0.48336113545000003
5716.4,402.3897,329.7316137840001,0.48304493540000004
5762.5,404.0561,326.53126395,0.4827165315
5808.6,405.5826,323.6245955,0.48237282275
5854.7,407.1863,320.031539278,0.482013309
5900.8,408.6887,316.37583356,0.4816396908
5946.9,410.2908,313.4796238,0.4812524683
5993.0,411.8363,310.2705613,0.48084904065000006
6039.1,413.3661,306.83341202599996,0.48042880769999996
6085.2,414.8641,303.47241410400005,0.47999156935000004
6131.3,416.4266,300.3003003,0.47953542499999996
