Resistance,Temp-DC,Soot left-mg,Time-DC
212.09831231600003,621.9974,2.7308649999999998e-05,12354.8
344.8275862,396.0969,0.48424411485,5532.0
184.76118499199995,658.3353,-0.0070209215,13461.2
800.0,298.4073,0.49410853595,2673.8
224.7191011,607.0277,0.01525992825,11893.8
144.854128635,723.4775,-0.006974607000000001,15443.5
1063.31029474,274.2197,0.4967657767,1982.3
408.73201740199994,374.162,0.487335593,4886.6
204.9180328,631.0594,-0.0041983285,12631.4
145.7725948,720.406,-0.0070812405,15351.3
1140.04680916,267.6034,0.497506311,1797.9
855.142941348,291.9409,0.49478935135,2489.4
149.4768311,711.5443,-0.0072513945,15074.7
313.4796238,410.2908,0.4812524683,5946.9
186.38997750099998,656.9278,-0.007004516,13415.1
1347.02113995,251.0802,0.49917834005000006,1336.9
221.2389381,494.6563,0.39758719659999997,8482.4
231.4814815,464.0283,0.4494661111,7560.4
251.2562814,445.6169,0.4658571972,7007.2
241.867564995,587.2187,0.0557475385,11294.5
242.03132492699996,523.6511,0.30669193735,9358.3
1280.34625244,256.0943,0.49872879779999996,1475.2
1252.32032693,257.7819,0.49856574620000005,1521.3
316.37583356,408.6887,0.4816396908,5900.8
221.72949,497.7344,0.3900954262,8574.6
137.415541832,749.4274,-0.005328486,16227.2
189.649100123,653.8592,-0.006958902,13322.9
141.2429379,734.1689,-0.0063288025,15766.2
260.22727274,439.4243,0.46973012259999997,6822.8
192.50778125399998,649.297,-0.006833462,13184.6
138.121547,746.4554,-0.005527149,16135.0
221.72949,485.5693,0.41726282195000003,8205.8
444.4444444,364.7716,0.48832600635,4610.0
142.8571429,729.5283,-0.0066263965,15627.9
144.308485348,725.0646,-0.0069018840000000005,15489.6
233.6448598,516.0724,0.33472950840000004,9127.8
243.3090024,585.7254,0.059923659850000005,11248.4
359.7122302,389.7997,0.4852743408,5347.6
214.47280147599997,618.9546,0.0021498802,12262.6
664.3267108169999,322.1619,0.49184061835000004,3365.3
145.403845504,722.1554,-0.0070331255,15397.4
1407.86427776,245.9985,0.49955836025000006,1198.6
229.8850575,467.1116,0.4458630711,7652.6
143.2664756,727.9996,-0.006723727499999999,15581.8
136.425648,767.4592,-0.004174321,16780.4
222.34595395,480.9561,0.42567168250000004,8067.5
135.63740792200002,770.2877,-0.003988462,16872.6
1120.8279668,269.269,0.49732325310000003,1844.0
228.3105023,509.9378,0.3551440676,8943.4
156.70301852,693.2265,-0.007300109999999999,14521.5
514.6973301370001,347.4381,0.4898305824,4102.9
